,Legislative,DEM,OTH,REP,UNA
30,24,0.8280058205542319,0.012088843404704414,0.041975150710779216,0.11793018533028447
31,25,0.8516576480451186,0.010258364453928817,0.03312247542108071,0.10496151207987196
32,26,0.8237534233256089,0.011424589606054223,0.048809736019057186,0.11601225104927969
33,27A,0.7187052420509883,0.010025780578630765,0.1307443630560216,0.14052461431435936
34,27B,0.5400879136847458,0.012751117085043775,0.27024376067134087,0.17691720855886947
35,27C,0.32670382107602086,0.01373256110443303,0.46723491057443634,0.19232870724510984
36,28,0.6143960855009014,0.01085500901364924,0.20732680916816895,0.16742209631728044
37,29A,0.2648900992024898,0.012410036957790313,0.5385333592686248,0.18416650457109512
38,29B,0.42038515735086895,0.01774437659829863,0.3424664683471635,0.21940399770366892
39,29C,0.3117618203086676,0.015357911022225576,0.4685860910909022,0.2042941775782046
40,30A,0.48946560327547234,0.011600631210815882,0.29133791103339446,0.2075958544803173
41,30B,0.33663016601907453,0.01232387456336591,0.43722281094234466,0.21382314847521489
42,31,0.33694299557838436,0.013741428155365512,0.4315973417352856,0.21771823453096456
43,32,0.5311247707668274,0.01473884398560076,0.2377063098553284,0.21643007539224343
44,33A,0.4984623733719247,0.015150144717800289,0.23688494934876989,0.24950253256150506
45,33B,0.37401742086254514,0.011932582678280575,0.3808512145032221,0.23319878195595212
46,33C,0.39549336725422496,0.01359258586225695,0.3604579320370707,0.2304561148464474
47,34A,0.47126224357789687,0.017187211236370358,0.3038717427462576,0.20767880243947515
48,34B,0.3297459225563076,0.014608528421909094,0.44912903583712416,0.2065165131846592
49,35A,0.23815461346633415,0.013145707160669755,0.5620413252582829,0.1866583541147132
50,35B,0.2245277559624685,0.0151696771793494,0.5816145165957095,0.17868805026247261
51,36,0.29234595192042,0.013947551941472914,0.5095988105106646,0.18410768562744248
52,37A,0.5424510889627169,0.013842746400885935,0.2903900578319183,0.1533161068044789
53,37B,0.3174961017490466,0.012418042796220106,0.5022825903173083,0.16780326513742508
54,38A,0.34907214706902534,0.01296392646548734,0.4869493583073188,0.15101456815816858
55,38B,0.42042106390957307,0.014410456956125783,0.3705469545186693,0.19462152461563187
56,38C,0.2640281258702311,0.01705653021442495,0.5350181008075745,0.18389724310776942
57,39,0.5922861575221554,0.014764358695458354,0.15277901606604732,0.24017046771633888
58,40,0.8195179306290418,0.013046624157735269,0.04865915977027088,0.11877628544295211
59,41,0.8174704478605916,0.01010044952550086,0.06942671624396471,0.10300238636994284
60,42A,0.3415140114623255,0.013818079533068458,0.4545198832671144,0.19014802573749165
61,42B,0.5048309178743962,0.014019134223737805,0.2889078336648669,0.19224211423699913
62,42C,0.2320122406329303,0.013546798029556651,0.5673234811165846,0.1871174802209285
63,43A,0.845711198162907,0.011022558422261245,0.03536404160475483,0.107902201810077
64,43B,0.6446975861133714,0.012042310821806347,0.16929753186872795,0.17396257119609437
65,44A,0.5301399044274282,0.018078185272612124,0.26685474120559616,0.18492716909436352
66,44B,0.7074820178268454,0.012689081654598896,0.14034458862045068,0.139484311898105
67,45,0.8208117988150763,0.012227404512794655,0.05741837892348418,0.1095424177486449
68,46,0.6948128775141665,0.01342964485127758,0.11364343981567968,0.17811403781887622
69,47A,0.7865780381553252,0.016110860748084724,0.06046267087276551,0.13684843022382454
70,47B,0.7390912601364397,0.018663920710516153,0.08134895095893938,0.16089586819410479
