,age_bracket,County,Party,Count,voted_2024,voted_2020,voted_2016
367,51-64,Somerset,UNA,502,302,270,234
368,51-64,Talbot,DEM,2243,1818,1730,1475
369,51-64,Talbot,OTH,94,61,63,53
370,51-64,Talbot,REP,3117,2641,2526,2318
371,51-64,Talbot,UNA,1279,936,856,728
372,51-64,Washington,DEM,7073,5225,4922,4551
373,51-64,Washington,OTH,319,190,153,142
374,51-64,Washington,REP,13329,11010,10191,9724
375,51-64,Washington,UNA,4880,3282,2898,2648
376,51-64,Wicomico,DEM,5944,4209,4125,3643
377,51-64,Wicomico,OTH,247,147,137,121
378,51-64,Wicomico,REP,6471,5379,5172,4698
379,51-64,Wicomico,UNA,2779,1827,1737,1468
380,51-64,Worcester,DEM,3057,2280,2210,1951
381,51-64,Worcester,OTH,198,134,115,99
382,51-64,Worcester,REP,5812,4783,4608,4121
383,51-64,Worcester,UNA,2039,1407,1285,1066
384,65+,Allegany,DEM,4111,3171,3136,3028
385,65+,Allegany,OTH,127,84,85,84
386,65+,Allegany,REP,8070,6815,6600,6468
387,65+,Allegany,UNA,1454,1058,981,891
388,65+,Anne Arundel,DEM,46013,37641,37993,35291
389,65+,Anne Arundel,OTH,897,603,619,544
