,age_bracket,Gender,County,Party,Count,voted_2024,voted_2020,voted_2016
202,25-34,Female,Baltimore City,REP,2499,1214,970,688
203,25-34,Female,Baltimore City,UNA,8662,3729,2820,1832
204,25-34,Female,Baltimore County,DEM,30536,19430,18781,13509
205,25-34,Female,Baltimore County,OTH,1191,485,434,322
206,25-34,Female,Baltimore County,REP,7639,5012,4370,3201
207,25-34,Female,Baltimore County,UNA,11776,5738,5018,3353
208,25-34,Female,Calvert,DEM,2086,1346,1315,884
209,25-34,Female,Calvert,OTH,129,72,56,44
210,25-34,Female,Calvert,REP,1758,1247,1028,817
211,25-34,Female,Calvert,UNA,1464,750,604,399
212,25-34,Female,Caroline,DEM,511,260,258,181
213,25-34,Female,Caroline,OTH,50,19,18,13
214,25-34,Female,Caroline,REP,735,523,466,356
215,25-34,Female,Caroline,UNA,545,256,210,136
216,25-34,Female,Carroll,DEM,2871,1924,2026,1318
217,25-34,Female,Carroll,OTH,204,116,113,70
218,25-34,Female,Carroll,REP,3731,2682,2552,1863
219,25-34,Female,Carroll,UNA,2915,1566,1486,949
220,25-34,Female,Cecil,DEM,1797,1050,861,531
221,25-34,Female,Cecil,OTH,162,72,44,33
222,25-34,Female,Cecil,REP,2308,1635,1285,892
223,25-34,Female,Cecil,UNA,1882,840,589,375
224,25-34,Female,Charles,DEM,7032,4557,4552,3241
225,25-34,Female,Charles,OTH,210,88,90,57
226,25-34,Female,Charles,REP,1325,834,734,515
227,25-34,Female,Charles,UNA,2544,1279,1134,726
228,25-34,Female,Dorchester,DEM,796,404,382,309
229,25-34,Female,Dorchester,OTH,56,24,18,15
230,25-34,Female,Dorchester,REP,571,442,370,268
231,25-34,Female,Dorchester,UNA,452,209,177,117
232,25-34,Female,Frederick,DEM,8254,5535,5318,3599
233,25-34,Female,Frederick,OTH,334,159,141,87
234,25-34,Female,Frederick,REP,4196,2826,2569,1821
235,25-34,Female,Frederick,UNA,4971,2672,2368,1432
236,25-34,Female,Garrett,DEM,245,151,141,88
237,25-34,Female,Garrett,OTH,30,10,10,5
238,25-34,Female,Garrett,REP,917,632,590,406
239,25-34,Female,Garrett,UNA,320,143,118,56
240,25-34,Female,Harford,DEM,6239,4124,4025,2652
241,25-34,Female,Harford,OTH,401,202,177,125
