year,month,county,inactive
2011,03,WICOMICO,4392
2011,03,WORCESTER,4013
2011,08,ALLEGANY,2760
2011,08,ANNE ARUNDEL,26909
2011,08,BALTIMORE CITY,16000
2011,08,BALTIMORE CO.,51537
2011,08,CALVERT,4566
2011,08,CAROLINE,1238
2011,08,CARROLL,5074
2011,08,CECIL,8060
2011,08,CHARLES,8883
2011,08,DORCHESTER,1182
2011,08,FREDERICK,8426
2011,08,GARRETT,1129
2011,08,HARFORD,7658
2011,08,HOWARD,19344
2011,08,KENT,1086
2011,08,MONTGOMERY,35983
2011,08,PR. GEORGE'S,8251
2011,08,QUEEN ANNE'S,1301
2011,08,ST. MARY'S,5855
2011,08,SOMERSET,764
2011,08,TALBOT,3018
2011,08,WASHINGTON,7488
2011,08,WICOMICO,4235
2011,08,WORCESTER,2374
2011,01,ALLEGANY,2862
2011,01,ANNE ARUNDEL,25898
2011,01,BALTIMORE CITY,11105
2011,01,BALTIMORE CO.,39257
2011,01,CALVERT,3690
2011,01,CAROLINE,981
2011,01,CARROLL,6683
2011,01,CECIL,5919
2011,01,CHARLES,6836
2011,01,DORCHESTER,640
2011,01,FREDERICK,5204
2011,01,GARRETT,761
2011,01,HARFORD,8268
2011,01,HOWARD,14809
2011,01,KENT,1265
2011,01,MONTGOMERY,19635
2011,01,PR. GEORGE'S,6276
2011,01,QUEEN ANNE'S,2082
2011,01,ST. MARY'S,4852
2011,01,SOMERSET,885
2011,01,TALBOT,3155
2011,01,WASHINGTON,5788
2011,01,WICOMICO,4200
2011,01,WORCESTER,2773
2009,11,ALLEGANY,3035
2009,11,ANNE ARUNDEL,23993
2009,11,BALTIMORE CITY,22425
2009,11,BALTIMORE CO.,27434
2009,11,CALVERT,3833
2009,11,CAROLINE,1144
2009,11,CARROLL,6320
2009,11,CECIL,6100
2009,11,CHARLES,7291
2009,11,DORCHESTER,1181
2009,11,FREDERICK,14009
2009,11,GARRETT,1411
2009,11,HARFORD,7153
2009,11,HOWARD,14850
2009,11,KENT,825
2009,11,MONTGOMERY,47460
2009,11,PR. GEORGE'S,10205
2009,11,QUEEN ANNE'S,2320
2009,11,ST. MARY'S,4764
2009,11,SOMERSET,900
2009,11,TALBOT,3386
2009,11,WASHINGTON,6817
2009,11,WICOMICO,4285
2009,11,WORCESTER,2958
2017,02,ALLEGANY,2261
2017,02,ANNE ARUNDEL,11257
2017,02,BALTIMORE CITY,17158
2017,02,BALTIMORE CO.,20358
2017,02,CALVERT,3283
2017,02,CAROLINE,725
2017,02,CARROLL,5043
2017,02,CECIL,4033
2017,02,CHARLES,5130
2017,02,DORCHESTER,1189
2017,02,FREDERICK,6814
2017,02,GARRETT,939
2017,02,HARFORD,6177
2017,02,HOWARD,10243
2017,02,KENT,620
2017,02,MONTGOMERY,47080
2017,02,PR. GEORGE'S,25668
2017,02,QUEEN ANNE'S,1130
2017,02,ST. MARY'S,2741
2017,02,SOMERSET,967
2017,02,TALBOT,992
2017,02,WASHINGTON,6190
2017,02,WICOMICO,2903
2017,02,WORCESTER,1457
2022,03,ALLEGANY,2995
2022,03,ANNE ARUNDEL,31818
2022,03,BALTIMORE CITY,25334
2022,03,BALTIMORE CO.,37678
2022,03,CALVERT,5830
2022,03,CAROLINE,1267
2022,03,CARROLL,6396
2022,03,CECIL,5655
2022,03,CHARLES,9753
2022,03,DORCHESTER,1056
2022,03,FREDERICK,13703
2022,03,GARRETT,1202
2022,03,HARFORD,13493
2022,03,HOWARD,14307
2022,03,KENT,883
2022,03,MONTGOMERY,75568
2022,03,PR. GEORGE'S,38245
2022,03,QUEEN ANNE'S,2011
2022,03,ST. MARY'S,7100
2022,03,SOMERSET,549
2022,03,TALBOT,1407
2022,03,WASHINGTON,11046
2022,03,WICOMICO,4531
2022,03,WORCESTER,3052
2012,05,ALLEGANY,2600
2012,05,ANNE ARUNDEL,25358
2012,05,BALTIMORE CITY,19303
2012,05,BALTIMORE CO.,49163
2012,05,CALVERT,4228
2012,05,CAROLINE,1217
2012,05,CARROLL,6642
2012,05,CECIL,7823
2012,05,CHARLES,8477
2012,05,DORCHESTER,1281
2012,05,FREDERICK,8853
2012,05,GARRETT,1111
2012,05,HARFORD,8628
2012,05,HOWARD,19668
2012,05,KENT,1039
2012,05,MONTGOMERY,36897
2012,05,PR. GEORGE'S,9661
